Part,Width (Inches),Height (Inches),Depth (Inches),Weight (Pounds),LTL Threshold
51726,19,23,40,75,4
51728,23,26,40,90,3
51731,40,48,50,95,1
51801,40,48,50,95,1
51817,40,30,23,85,1
51821,20,51,22,85,1
51939,45,40,48,75,1
51976,16,42,23,45,5
51977,16,42,23,45,5
51994,16,42,23,45,5
51995,16,42,23,45,5
52907,21,32,18,55,4
52937,40,48,55,205,1
52943,96,48,55,325,1
53111,22,40,23,45,4
53244,45,40,48,105,1
53292,55,40,48,85,1
53369,40,30,23,85,1
53370,23,40,26,70,3
53371,23,40,26,70,3
53372,23,40,26,70,3
53373,23,40,26,70,3
53374,23,40,26,70,3
53375,23,40,26,70,3
53376,23,40,26,70,3
53377,23,40,26,70,3
53378,23,40,26,70,3
53379,23,40,26,70,3
53380,23,40,26,70,3
53381,23,40,26,70,3
53382,23,40,26,70,3
53393,21,32,18,55,4
53401,21,32,18,55,
53405,21,32,18,55,4
53406,21,32,18,55,4
53407,21,32,18,55,4
53426,21,32,18,55,4
53427,21,32,18,55,4
53428,21,32,18,55,4
53429,21,32,18,55,4
53430,21,32,18,55,4
53431,21,32,18,55,4
53432,21,32,18,55,4
53433,21,32,18,55,4
53434,21,32,18,55,4
53435,21,32,18,55,4
53436,21,32,18,55,4
53437,21,32,18,55,4
53438,21,32,18,55,4
53450,19,40,23,68,4
53451,19,40,23,68,4
53452,19,40,23,68,4
53453,19,40,23,68,4
53454,19,40,23,68,4
53455,19,40,23,68,4
53456,19,40,23,68,4
53457,19,40,23,68,4
53458,19,40,23,68,4
53459,19,40,23,68,4
53460,19,40,23,68,4
53461,19,40,23,68,4
53462,19,40,23,68,4
53463,23,40,26,72,3
53464,23,40,26,72,3
53465,23,40,26,72,3
53466,23,40,26,72,3
53467,23,40,26,72,3
53468,23,40,26,72,3
53469,23,40,26,72,3
53470,23,40,26,72,3
53471,23,40,26,72,3
53472,23,40,26,72,3
53473,23,40,26,72,3
53474,23,40,26,72,3
53475,23,40,26,72,3
53490,30,40,23,75,2
53491,30,40,23,75,2
53492,30,40,23,75,2
53493,30,40,23,75,2
53494,30,40,23,75,2
53495,30,40,23,75,2
53496,30,40,23,75,2
53497,30,40,23,75,2
53498,30,40,23,75,2
53499,30,40,23,75,2
53500,30,40,23,75,2
53501,30,40,23,75,2
53502,30,40,23,75,2
53503,75,40,48,125,1
53504,23,42,26,72,3
53505,23,42,26,72,3
53506,23,42,26,72,3
53507,23,42,26,72,3
53508,23,42,26,72,3
53509,23,42,26,72,3
53510,23,42,26,72,3
53511,23,42,26,72,3
53512,23,42,26,72,3
53513,23,42,26,72,3
53514,23,42,26,72,3
53515,23,42,26,72,3
53516,23,42,26,72,3
53517,23,40,26,70,3
53518,23,40,26,70,3
53519,23,40,26,70,3
53520,23,40,26,70,3
53521,23,40,26,70,3
53522,23,40,26,70,3
53523,23,40,26,70,3
53524,23,40,26,70,3
53525,23,40,26,70,3
53526,23,40,26,70,3
53527,23,40,26,70,3
53528,23,40,26,70,3
53529,23,40,26,70,3
53530,23,42,26,72,3
53531,23,42,26,72,3
53532,23,42,26,72,3
53533,23,42,26,72,3
53534,23,42,26,72,3
53535,23,42,26,72,3
53536,23,42,26,72,3
53537,23,42,26,72,3
53538,23,42,26,72,3
53539,23,42,26,72,3
53540,23,42,26,72,3
53541,23,42,26,72,3
53547,23,42,26,72,3
53549,21,32,18,55,4
53550,21,32,18,55,4
53551,21,32,18,55,4
53552,21,32,18,55,4
53553,21,32,18,55,4
53554,21,32,18,55,4
53555,21,32,18,55,4
53556,21,32,18,55,4
53557,21,32,18,55,4
53562,23,26,40,95,3
53563,23,26,40,95,3
91090,23,42,26,75,
50014,26,14,16,5,
90643,23,40,26,60,
90783,23,40,26,60,
90784,23,40,26,60,
90785,23,40,26,60,
90786,23,40,26,60,
90787,23,40,26,60,
90788,23,40,26,60,
90789,23,40,26,60,
90818,23,40,26,60,
90825,23,40,26,60,
90826,23,40,26,60,
90827,23,40,26,60,
90828,23,40,26,60,
90829,23,40,26,60,
90830,23,40,26,60,
90831,23,40,26,60,
90642,23,40,26,65,
90790,23,40,26,65,
90791,23,40,26,65,
90792,23,40,26,65,
90793,23,40,26,65,
90794,23,40,26,65,
90795,23,40,26,65,
90796,23,40,26,65,
90819,23,40,26,65,
90832,23,40,26,65,
90834,23,40,26,65,
90835,23,40,26,65,
90836,23,40,26,65,
90837,23,40,26,65,
90833,23,40,26,65,
90838,23,40,26,65,
90641,23,40,26,65,
90797,23,40,26,65,
90798,23,40,26,65,
90799,23,40,26,65,
90800,23,40,26,65,
90801,23,40,26,65,
90802,23,40,26,65,
90803,23,40,26,65,
90820,23,40,26,65,
90824,23,40,26,65,
90839,23,40,26,65,
90840,23,40,26,65,
90841,23,40,26,65,
90842,23,40,26,65,
90843,23,40,26,65,
90844,23,40,26,65,
90640,23,40,26,71,
90804,23,40,26,71,
90805,23,40,26,71,
90806,23,40,26,71,
90807,23,40,26,71,
90808,23,40,26,71,
90809,23,40,26,71,
90810,23,40,26,71,
90821,23,42,26,75,
90845,23,42,26,75,
90846,23,42,26,75,
90847,23,42,26,75,
90848,23,42,26,75,
90849,23,42,26,75,
